Track ID,Track Name,Artist,Album,Duration (ms),Popularity,Year,Explicit Content,Danceability,Energy,Loudness,Speechiness,Genre
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,Justin Bieber,Believe (Deluxe Edition),227986,81,2012,0,0.602,0.843,-4.831,0.0593,"canadian pop, pop"
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),231240,81,2013,0,0.613,0.622,-5.794,0.0334,pop
0W4Kpfp1w2xkY3PrV714B7,Ho Hey,The Lumineers,The Lumineers,163133,80,2012,0,0.685,0.466,-9.074,0.0304,"folk-pop, modern rock, stomp and holler"
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction,Midnight Memories (Deluxe),200106,79,2013,0,0.652,0.877,-2.986,0.0465,"boy band, pop, post-teen pop, talent show"
4X5f3vT8MRuXF68pfjNte5,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),233786,79,2013,1,0.853,0.693,-6.87,0.275,"east coast hip hop, hip hop, rap, trap"
5lF0pHbsJ0QqyIrLweHJPW,Burn,Ellie Goulding,Halcyon Nights,231213,79,2012,0,0.555,0.772,-5.007,0.0523,"indietronica, metropopolis, pop, uk pop"
2E43WFS4rRc09za2r2GmZl,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,186826,79,2013,0,0.558,0.924,-4.341,0.064,"emo, modern rock, pop, rock"
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,Passenger,All The Little Lights,252733,79,2012,0,0.479,0.545,-7.346,0.0688,"folk-pop, neo mellow"
6PUIzlqotEmPuBfjbwYWOB,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),214912,78,2013,0,0.572,0.81,-5.791,0.0558,"art pop, pop"
3LlAyCYU26dvFZBDUIMb7a,Demons,Imagine Dragons,Night Visions,175200,78,2012,0,0.505,0.71,-3.015,0.0321,"modern rock, pop, rock"
4Ub8UsjWuewQrPhuepfVpd,Pompeii,Bastille,All This Bad Blood,214147,78,2013,0,0.679,0.715,-6.383,0.0407,"metropopolis, modern rock, pop"
60wwxj6Dd9NJlirf84wr2c,Clarity,Zedd,Clarity,271426,78,2012,0,0.509,0.781,-3.48,0.072,"complextro, edm, german techno, pop, pop dance"
24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,212560,77,2012,0,0.573,0.929,-3.942,0.109,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
7ueP5u2qkdZbIPN2YA6LR0,Sail,AWOLNATION,Megalithic Symphony,259093,77,2011,0,0.826,0.436,-9.583,0.0558,"la indie, modern alternative rock, modern rock, rock, stomp pop"
722tgOgdIbNe3BEyLnejw4,Black Skinhead,Kanye West,Yeezus,188013,77,2013,1,0.766,0.809,-6.123,0.279,"chicago rap, hip hop, rap"
